id,topic
1_a00179-plain,environment
1_m00337-plain,medicine
1_e00051-plain,economy
1_m00336-plain,medicine
1_m00707-plain,medicine
1_m00310-plain,medicine
1_m00291-plain,medicine
1_a00116-plain,environment
1_m00690-plain,medicine
1_m00695-plain,medicine
1_m00665-plain,medicine
1_m00003-plain,medicine
1_m00211-plain,medicine
1_m00668-plain,medicine
1_i00090-plain,computer_science
1_m00302-plain,medicine
1_m00214-plain,medicine
1_m00731-plain,medicine
1_i00041-plain,computer_science
1_a00107-plain,environment
1_i00045-plain,computer_science
1_m00351-plain,medicine
1_i00064-plain,computer_science
1_m00712-plain,medicine
1_m00092-plain,medicine
1_m00239-plain,medicine
1_m00708-plain,medicine
1_m00064-plain,medicine
1_i00059-plain,computer_science
1_i00055-plain,computer_science
1_m00220-plain,medicine
1_e00079-plain,economy
1_i00018-plain,computer_science
1_m00281-plain,medicine
1_m00362-plain,medicine
1_i00022-plain,computer_science
1_m00251-plain,medicine
1_m00669-plain,medicine
1_i00033-plain,computer_science
1_m00332-plain,medicine
1_m00703-plain,medicine
1_m00678-plain,medicine
1_m00300-plain,medicine
1_m00696-plain,medicine
1_m00210-plain,medicine
1_m00298-plain,medicine
1_e00010-plain,economy
1_m00253-plain,medicine
1_m00224-plain,medicine
1_a00111-plain,environment
1_i00062-plain,computer_science
1_m00305-plain,medicine
1_a00104-plain,environment
1_m00240-plain,medicine
1_i00051-plain,computer_science
1_e00004-plain,economy
1_m00334-plain,medicine
1_m00715-plain,medicine
1_m00266-plain,medicine
1_m00327-plain,medicine
1_m00274-plain,medicine
1_m00213-plain,medicine
1_m00650-plain,medicine
1_m00735-plain,medicine
1_a00015-plain,environment
1_m00306-plain,medicine
1_m00201-plain,medicine
1_i00043-plain,computer_science
1_m00230-plain,medicine
1_m00710-plain,medicine
1_i00037-plain,computer_science
1_m00664-plain,medicine
1_i00080-plain,computer_science
1_m00218-plain,medicine
1_m00697-plain,medicine
1_e00053-plain,economy
1_m00680-plain,medicine
1_a00180-plain,environment
1_e00001-plain,economy
1_m00545-plain,medicine
1_i00047-plain,computer_science
1_m00898-plain,medicine
1_m00686-plain,medicine
1_m00641-plain,medicine
1_a00094-plain,environment
1_m00270-plain,medicine
1_m00324-plain,medicine
1_m00344-plain,medicine
1_m00304-plain,medicine
1_m00649-plain,medicine
1_m00255-plain,medicine
1_i00031-plain,computer_science
1_a00198-plain,environment
1_a00011-plain,environment
1_e00018-plain,economy
1_i00025-plain,computer_science
1_m00500-plain,medicine
1_m00203-plain,medicine
1_d00026-plain,law
1_m00341-plain,medicine
1_m00296-plain,medicine
1_i00039-plain,computer_science
1_m00208-plain,medicine
1_m00301-plain,medicine
1_a00098-plain,environment
1_m00683-plain,medicine
1_m00259-plain,medicine
1_m00457-plain,medicine
1_m00361-plain,medicine
1_e00032-plain,economy
1_i00081-plain,computer_science
1_m00268-plain,medicine
1_m00235-plain,medicine
1_i00049-plain,computer_science
1_m00279-plain,medicine
1_m00272-plain,medicine
1_e00091-plain,economy
1_m00215-plain,medicine
1_m00699-plain,medicine
1_m00293-plain,medicine
1_m00725-plain,medicine
1_m00238-plain,medicine
1_i00029-plain,computer_science
1_m00689-plain,medicine
1_m00244-plain,medicine
1_m00278-plain,medicine
1_m00248-plain,medicine

