cm,type,field,text_id,target_tokens,target_tags,sentence,context,det,specialized_lang,det_sum
M01,Parties du même genre,law,text_id d00006,"['el', 'escrito', 'de', 'iniciación', 'no', 'reuniera', 'los', 'requisitos', 'exigidos']","['AMS', 'N5-MS', 'P', 'N5-FS', 'D', 'VJA6S-', 'AMP', 'N5-MP', 'VC--PM']",el escrito de iniciación no reuniera los requisitos exigidos,"a instancia de los interesados . En este último caso , cuandoel escrito de iniciación no reuniera los requisitos exigidos, la Ley impone a el órgano competente la obligación de requerir","['AMS', 'AMP']",TRUE,def
M01,Parties du même genre,general,text_id g20417,"['la', 'federación', 'no', 'reunía', 'los', 'requisitos', 'necesarios', 'para', 'recibir']","['AFS', 'N5-FS', 'D', 'VDA6S-', 'AMP', 'N5-MP', 'JQ--MP', 'P', 'VI----']",la federación no reunía los requisitos necesarios para recibir,mismo año un recurso contencioso administrativo contra este acuerdo . Afirmaban quela federación no reunía los requisitos necesarios para recibirgratis una porción de el suelo público de Las_Rozas . Los recurrentes,"['AFS', 'AMP']",FALSE,def
M01,Parties du même genre,general,text_id g20911,"['la', 'línea', 'no', 'reunía', 'las', 'condiciones', 'de', 'seguridad', 'exigibles']","['AFS', 'N5-FS', 'D', 'VDA6S-', 'AFP', 'N5-FP', 'P', 'N5-FS', 'JQ--6P']",la línea no reunía las condiciones de seguridad exigibles,en la línea tras el accidente porque sería tanto como reconocer quela línea no reunía las condiciones de seguridad exigibles. De ahí que se abriera enseguida a el público sin tomar,"['AFS', 'AFP']",FALSE,def
M01,Parties du même genre,general,text_id g00161,"['Los', 'lugares', 'de', 'trabajo', 'no', 'reúnen', 'las', 'condiciones', 'higiénico-sanitarias']","['AMP', 'N5-MP', 'P', 'N5-MS', 'D', 'VDR3P-', 'AFP', 'N5-FP', 'JQ--FP']",Los lugares de trabajo no reúnen las condiciones higiénico-sanitarias,. Entran en el mundo laboral las mujeres y los niños .Los lugares de trabajo no reúnen las condiciones higiénico-sanitarias. Jornada laboral muy dura y un alto ritmo de trabajo .,"['AMP', 'AFP']",FALSE,def
M01,Parties du même genre,general,text_id g00573,"['el', 'festival', 'ya', 'no', 'agrupa', 'las', 'exposiciones', 'por', 'temas']","['AMS', 'N5-MS', 'D', 'D', 'VDR3S-', 'AFP', 'N5-FP', 'P', 'N5-6P']",el festival ya no agrupa las exposiciones por temas,"que 210.000 corresponden a la organización . En su 11ª edición ,el festival ya no agrupa las exposiciones por temas, sino que la convocatoria , a la que se presentaron 300","['AMS', 'AFP']",FALSE,def
M01,Parties du même genre,medicine,text_id m00015,"['el', 'trastorno', 'no', 'reúne', 'los', 'criterios', 'para', 'ser', 'clasificado']","['AMS', 'N5-MS', 'D', 'VDR3S-', 'AMP', 'N5-MP', 'P', 'VI----', 'VC--SM']",el trastorno no reúne los criterios para ser clasificado,"bastante información para un diagnostico preciso , o el cuadro clínico deel trastorno no reúne los criterios para ser clasificadoen cualquier otra categoría ; por ejemplo , trastorno depresivo no especificado","['AMS', 'AMP']",TRUE,def
M01,Parties du même genre,medicine,text_id m00015,"['Los', 'tics', 'no', 'reúnen', 'los', 'criterios', 'para', 'un', 'trastorno']","['AMP', 'N5-MP', 'D', 'VDR3P-', 'AMP', 'N5-MP', 'P', 'J6--MS', 'N5-MS']",Los tics no reúnen los criterios para un trastorno,"episodio único o recurrente . Trastorno por tics , no especificado .Los tics no reúnen los criterios para un trastornoespecífico por tics . Un ejemplo sería el trastorno por tics de","['AMP', 'AMP']",TRUE,def
M01,Parties du même genre,medicine,text_id m00015,"['El', 'cuadro', 'nunca', 'reunió', 'los', 'criterios', 'para', 'el', 'diagnóstico']","['AMS', 'N5-MS', 'D', 'VDP3S-', 'AMP', 'N5-MP', 'P', 'AMS', 'N5-MS']",El cuadro nunca reunió los criterios para el diagnóstico,mínimo o han aparecido repetidamente por un período prolongado de tiempo .El cuadro nunca reunió los criterios para el diagnósticode dependencia de sustancia psicoactiva para el caso de esa sustancia .,"['AMS', 'AMP', 'AMS']",TRUE,def
M01,Parties du même genre,law,text_id d00119,"['una', 'provincia', 'y', 'no', 'reúna', 'las', 'condiciones', 'de', 'el', 'apartado']","['E6--FS', 'N5-FS', 'C', 'D', 'VJR6S-', 'AFP', 'N5-FP', 'P', 'AMS', 'N5-MS']",una provincia y no reúna las condiciones de el apartado,"de una comunidad autónoma cuando su ámbito territorial no supere el deuna provincia y no reúna las condiciones de el apartado1 de el artículo 143 . Autorizar o acordar , en su","['E6--FS', 'AFP', 'AMS']",TRUE,mix
M01,Parties du même genre,law,text_id d00001,"['el', 'matrimonio', 'no', 'reúne', 'los', 'requisitos']","['AMS', 'N5-MS', 'D', 'VDR3S-', 'AMP', 'N5-MP']",el matrimonio no reúne los requisitos,los documentos presentados o de los asientos de el Registro conste queel matrimonio no reúne los requisitosque para su validez se exigen en este título . Véa se,"['AMS', 'AMP']",TRUE,def
M01,Parties du même genre,law,text_id d00163,"['el', 'local', 'ofrecido', 'no', 'reúne', 'las', 'condiciones', 'exigidas', 'en', 'las']","['AMS', 'N5-MS', 'VC--SM', 'D', 'VDR3S-', 'AFP', 'N5-FP', 'VC--PF', 'P', 'AFP']",el local ofrecido no reúne las condiciones exigidas en las,"Decreto de fecha 13_de_junio_de_1985 , denegó la licencia solicitada , razonando queel local ofrecido no reúne las condiciones exigidas en lasordenanzas municipales sobre el uso de el suelo y edificación . 2","['AMS', 'AFP', 'AFP']",TRUE,def
M01,Parties du même genre,law,text_id d00116,"['la', 'solicitud', 'no', 'reúna', 'los', 'requisitos', 'necesarios', 'o', 'no']","['AFS', 'N5-FS', 'D', 'VJR6S-', 'AMP', 'N5-MP', 'JQ--MP', 'C', 'D']",la solicitud no reúna los requisitos necesarios o no,las solicitudes de autorización . El plazo para resolver se interrumpirá cuandola solicitud no reúna los requisitos necesarios o nose presente debidamente documentada y el Protectorado así lo estime mediante acto,"['AFS', 'AMP']",TRUE,def
M01,Parties du même genre,medicine,text_id m00015,"['el', 'uso', 'de', 'medicación', 'no', 'reúne', 'los', 'criterios', 'de', 'el', 'trastorno']","['AMS', 'N5-MS', 'P', 'N5-FS', 'D', 'VDR3S-', 'AMP', 'N5-MP', 'P', 'AMS', 'N5-MS']",el uso de medicación no reúne los criterios de el trastorno,"registrar se en el eje III ( si el trastorno somático oel uso de medicación no reúne los criterios de el trastornopor uso de sustancias psicoactivas ) . Hipersomnia primaria La hipersomnia ,","['AMS', 'AMP', 'AMS']",TRUE,def
M01,Parties du même genre,law,text_id d00046,"['los', 'interesados', 'no', 'reúne', 'los', 'requisitos', 'necesarios']","['AMP', 'N5-MP', 'D', 'VDR3S-', 'AMP', 'N5-MP', 'JQ--MP']",los interesados no reúne los requisitos necesarios,"Cuando en cualquier momento se considere que alguno de los actos delos interesados no reúne los requisitos necesarios, la Administración lo pondrá en conocimiento de su autor , concediéndo","['AMP', 'AMP']",TRUE,def
M01,Parties du même genre,law,text_id d00046,"['la', 'solicitud', 'de', 'iniciación', 'no', 'reúne', 'los', 'requisitos']","['AFS', 'N5-FS', 'P', 'N5-FS', 'D', 'VDR3S-', 'AMP', 'N5-MP']",la solicitud de iniciación no reúne los requisitos,"que se dirijan . Subsanación y mejora de la solicitud 1. Sila solicitud de iniciación no reúne los requisitosque señala el artículo anterior y los exigidos , en su caso","['AFS', 'AMP']",TRUE,def
M01,Parties du même genre,law,text_id d00146,"['la', 'parte', 'expropiada', 'no', 'reúne', 'las', 'condiciones', 'necesarias', 'a', 'el']","['AFS', 'N5-6S', 'VC--SF', 'D', 'VDR3S-', 'AFP', 'N5-FP', 'JQ--FP', 'P', 'AMS']",la parte expropiada no reúne las condiciones necesarias a el,"administrativo , pues el informe técnico emitido por Ingeniero a instancia dela parte expropiada no reúne las condiciones necesarias a elfaltar le cualquier género de contradicción , es por lo que resulta","['AFS', 'AFP', 'AMS']",TRUE,def
M01,Parties du même genre,law,text_id d00063,"['la', 'solicitud', 'de', 'cooperación', 'no', 'reúna', 'los', 'requisitos', 'de', 'autenticidad', 'suficiente']","['AFS', 'N5-FS', 'P', 'N5-FS', 'D', 'VJR6S-', 'AMP', 'N5-MP', 'P', 'N5-FS', 'JQ--6S']",la solicitud de cooperación no reúna los requisitos de autenticidad suficiente,de ello a la autoridad requirente . Cuando la comunicación que contengala solicitud de cooperación no reúna los requisitos de autenticidad suficienteo se halle redactada en idioma que no sea el castellano .,"['AFS', 'AMP']",TRUE,def
M01,Parties du même genre,law,text_id d00058,"['las', 'partes', 'no', 'reúne', 'los', 'requisitos', 'dispuestos', 'por', 'la']","['AFP', 'N5-6P', 'D', 'VDR3S-', 'AMP', 'N5-MP', 'VC--PM', 'P', 'AFS']",las partes no reúne los requisitos dispuestos por la,"apartado a) . Cuando se alegare que alguno de los actos delas partes no reúne los requisitos dispuestos por lapresente Ley , la que se hallare en tal supuesto podrá subsanar","['AFP', 'AMP', 'AFS']",TRUE,def
