cm,type,field,text_id,target_tokens,target_tags,sentence,context,det,specialized_lang,det_sum,selection_features
M01,Parties du même genre,general,text_id g20910,"['El', 'jueves', 'se', 'reúne', 'el', 'Banco_Central_Europeo']","['AMS', 'N5-M6', 'R6EZZZZ', 'VDR3S-', 'AMS', 'N4666']",El jueves se reúne el Banco_Central_Europeo,a la propuesta internacional para que abandone el enriquecimiento de uranio .El jueves se reúne el Banco_Central_Europeo( BCE ) para tomar una decisión sobre los tipos de interés,"['AMS', 'AMS']",FALSE,def,M01_general_def
M01,Parties du même genre,general,text_id g00515,"['El', 'Sabadell', 'ha', 'reagrupado', 'la', 'banca', 'personal', 'con', 'la']","['AMS', 'N4666', 'VDR3S-', 'VC--SM', 'AFS', 'N5-FS', 'JQ--6S', 'P', 'AFS']",El Sabadell ha reagrupado la banca personal con la,"proyectos y consolidar el ritmo de crecimiento de su negocio comercial .El Sabadell ha reagrupado la banca personal con lacomercial , lo que provocó la marcha de Guillermo_Kessler . La confianza","['AMS', 'AFS', 'AFS']",FALSE,def,M01_general_def
M01,Parties du même genre,general,text_id g20759,"['El', 'Consejo_de_Seguridad_de_la_ONU', 'se', 'reúne', 'el', 'lunes', 'para', 'abordar', 'la']","['AMS', 'N4666', 'R6EZZZZ', 'VDR3S-', 'AMS', 'N5-M6', 'P', 'VI----', 'AFS']",El Consejo_de_Seguridad_de_la_ONU se reúne el lunes para abordar la,de centenares de estudiantes que continúan protagonizando disturbios en la capital .El Consejo_de_Seguridad_de_la_ONU se reúne el lunes para abordar lacrisis nuclear de Irán EP  AP Los diplomáticos de los cinco,"['AMS', 'AMS', 'AFS']",FALSE,def,M01_general_def
M01,Parties du même genre,general,text_id g00266,"['el', 'Retiro', 'El', 'Palacio_de_Cristal', 'reúne', 'las', 'obras', 'verticales', 'de', 'el']","['AMS', 'N4666', 'AMS', 'N4666', 'VDR3S-', 'AFP', 'N5-FP', 'JQ--6P', 'P', 'AMS']",el Retiro El Palacio_de_Cristal reúne las obras verticales de el,"a Arte.Red El artista Kcho monta una ' columna infinita ' enel Retiro El Palacio_de_Cristal reúne las obras verticales de elautor cubano EL PAÍS El estanque de el Palacio_de_Cristal , en el","['AMS', 'AMS', 'AFP', 'AMS']",FALSE,def,M01_general_def
M01,Parties du même genre,general,text_id g00265,"['El', 'montaje', 'une', 'los', 'caminos', 'de', 'las', 'expediciones']","['AMS', 'N5-MS', 'VDR3S-', 'AMP', 'N5-MP', 'P', 'AFP', 'N5-FP']",El montaje une los caminos de las expediciones,", y los conjuntos de máscaras , algunas de ellas transformables .El montaje une los caminos de las expedicionescientíficas con el arte de los indígenas de una zona desconocida hasta","['AMS', 'AMP', 'AFP']",FALSE,def,M01_general_def
M01,Parties du même genre,general,text_id g00311,"['Una', 'obra', 'colectiva', 'reúne', 'el', 'mapa', 'de', 'la', 'poesía']","['E6--FS', 'N5-FS', 'JQ--FS', 'VDR3S-', 'AMS', 'N5-MS', 'P', 'AFS', 'N5-FS']",Una obra colectiva reúne el mapa de la poesía,", que su libro le ha permitido recordar el pasado vivido .Una obra colectiva reúne el mapa de la poesíahispanoamericana JAVIER VALENZUELA Nueva_York es el símbolo de el triunfo de la","['E6--FS', 'AMS', 'AFS']",FALSE,mix,M01_general_mix
M01,Parties du même genre,general,text_id g00331,"['Una', 'exposición', 'reúne', 'los', 'retratos']","['E6--FS', 'N5-FS', 'VDR3S-', 'AMP', 'N5-MP']",Una exposición reúne los retratos,"ideologías , que llevan consigo un bagaje intelectual previo y solidificado .Una exposición reúne los retratosque Vázquez_Díaz realizó a sus contemporáneos EL PAÍS Son 115 dibujos sobre","['E6--FS', 'AMP']",FALSE,mix,M01_general_mix
M01,Parties du même genre,general,text_id g20774,"['La', 'marca', 'japonesa', 'confía', 'en', 'agrupar', 'una', 'oferta', 'de', '10.000', 'títulos']","['AFS', 'N5-FS', 'JQ--FS', 'VDR3S-', 'P', 'VI----', 'E6--FS', 'N5-FS', 'P', 'X', 'N5-MP']",La marca japonesa confía en agrupar una oferta de 10.000 títulos,"la descarga , almacenamiento y lectura de libros en formato electrónico .La marca japonesa confía en agrupar una oferta de 10.000 títulosmediante acuerdos con los editores , y también con autores individuales .","['AFS', 'E6--FS']",FALSE,mix,M01_general_mix
M01,Parties du même genre,general,text_id g20442,"['Una', 'exposición', 'reúne', 'la', 'pintura', 'grotesca', 'de', 'el']","['E6--FS', 'N5-FS', 'VDR3S-', 'AFS', 'N5-FS', 'JQ--FS', 'P', 'AMS']",Una exposición reúne la pintura grotesca de el,escabrosos de la historia para no molestar a la corrección política .Una exposición reúne la pintura grotesca de elbelga James_Ensor IGNACIO FRANCIA Una parte significativa de la producción pictórica de,"['E6--FS', 'AFS', 'AMS']",FALSE,mix,M01_general_mix
M01,Parties du même genre,general,text_id g00159,"['los', 'cordones', 'litorales', 'unen', 'la', 'costa', 'con', 'una', 'isla']","['AMP', 'N5-MP', 'JQ--6P', 'VDR3P-', 'AFS', 'N5-FS', 'P', 'E6--FS', 'N5-FS']",los cordones litorales unen la costa con una isla,"denomina albufera . Tombolos se forman a_partir_de los cordones litorales . Cuandolos cordones litorales unen la costa con una islaexisten en las proximidades , se dice que se ha formado un","['AMP', 'AFS', 'E6--FS']",FALSE,mix,M01_general_mix
